assign,n_poi,sum_weight,lon,lat
0,618,762.0,24.482090100000004,48.4027997
1,378,452.0,24.5704656,48.298077
2,244,425.0,23.901860299999996,48.6821685
3,256,330.0,24.5982599,48.11290460000001
4,219,318.0,24.1820187,48.5501914
5,385,407.0,24.699894799999996,48.9165501
6,162,243.0,24.831109399999995,48.162217
7,178,178.0,25.0275567,48.3600596
8,101,112.0,23.75429,48.999534
9,84,84.0,24.686873099999996,48.6209155
10,70,81.0,24.207594299999997,48.9160284
11,68,77.0,24.7880962,47.92707789999999
