assign,n_poi,sum_weight,lon,lat
0,767,931.0,24.5013677,48.39049969999999
1,244,425.0,23.901860299999996,48.6821685
2,338,424.0,24.617963399999997,48.244910899999994
3,349,470.0,24.7531227,48.1141469
4,384,406.0,24.718971199999995,48.9429404
5,232,331.0,24.1820187,48.5501914
6,156,167.0,24.988670699999997,48.3322362
7,121,121.0,24.7757363,48.563446799999994
8,101,112.0,23.75429,48.999534
9,71,82.0,24.207594299999997,48.9160284
