Y,sample,coef,se,t,p,beta_std,R2,nobs,ngroups,iqr_effect_abs,iqr_effect_pct_median
W_km2,full,0.4274520578701895,0.2208981999119834,1.935063563399372,0.05298249608275,,,86,,9.6781,7.48
W_km2,no_heavy,0.4583871420961053,0.2384929046585764,1.9220158467704809,0.0546037638029022,,,81,,12.0773,10.32
DW_km2,full,0.0013960844919859,0.0010890754225205,1.2818988135412257,0.1998781442300078,,,114,,0.02339,38.49
DW_km2,no_heavy,0.0004228410634027,0.0001303011797622,3.245105410205325,0.0011740715436379,,,104,,0.00819,14.63
AIR_km2,full,0.859009943699826,0.6853174570310581,1.2534482156944329,0.2100426337058598,,,158,,,
AIR_km2,no_heavy,0.4469837970275304,0.5645290335551437,0.7917817693319198,0.4284879341251636,,,148,,,
MSW_km2,full,0.0170516176608223,0.0502931492180378,0.3390445403786082,0.7345761768115258,,,143,,,
MSW_km2,no_heavy,0.0090297452442388,0.0529301343552964,0.1705974366818374,0.8645403136102133,,,133,,,
