HKATOTTG,name,YEAR,TN_km2,W_km2,AIR_km2,DW_km2,MSW_km2,TN_km2_lag1,heavy
UA26020010000096556,Білоберізька сільська громада,2019,0.14990102602158958,,,,0.01982653193228949,,False
UA26020010000096556,Білоберізька сільська громада,2020,0.3082870157802503,,,,0.013010277730175698,0.14990102602158958,False
UA26020010000096556,Білоберізька сільська громада,2021,0.4638446842932206,,0.00028283212456903695,,0.25152260837924456,0.3082870157802503,False
UA26020010000096556,Білоберізька сільська громада,2022,0.4497030780647688,,0.03863486821613045,,0.24558313376329477,0.4638446842932206,False
UA26020010000096556,Білоберізька сільська громада,2023,1.6206280737805818,,0.11420761190097713,,0.2526539368775207,0.4497030780647688,False
UA26020010000096556,Білоберізька сільська громада,2024,1.6545679287288662,,0.017790140635392426,,0.044348077132424994,1.6206280737805818,False
UA26020030000088465,Верховинська селищна громада,2019,4.473027198272876,,0.14532422979883253,0.009683366572085237,1.4254210518979686,,False
UA26020030000088465,Верховинська селищна громада,2020,8.149757246963109,,0.07527957312258143,0.009707943644603222,1.2254128357466243,4.473027198272876,False
UA26020030000088465,Верховинська селищна громада,2021,7.043788983653881,,0.08710114500373117,0.014942860090933565,1.3714743777209961,8.149757246963109,False
UA26020030000088465,Верховинська селищна громада,2022,12.121412165869135,,0.09968460613293839,0.00675869494244528,1.4301152727489033,7.043788983653881,False
UA26020030000088465,Верховинська селищна громада,2023,18.01253644842962,,0.4211281375956359,0.004227256473093048,0.5869742229469841,12.121412165869135,False
UA26020030000088465,Верховинська селищна громада,2024,24.06832711686059,,0.12826774147135242,0.004227256473093048,1.814402378640083,18.01253644842962,False
UA26020050000098694,Зеленська сільська громада,2021,11.787074252934897,,0.00047288105323129706,,0.00448208998280099,,False
UA26020050000098694,Зеленська сільська громада,2022,2.7756061820097875,,0.00037008082426797165,,0.004358729708045,11.787074252934897,False
UA26020050000098694,Зеленська сільська громада,2023,8.883995787010585,,0.0016036835718278772,,0.005325051860300258,2.7756061820097875,False
UA26020050000098694,Зеленська сільська громада,2024,7.405728494517966,,0.0017681639381691978,,0.0056540125929829,8.883995787010585,False
UA26040030000091528,Богородчанська селищна громада,2019,6.279441380613705,182.63622150149038,910.9010908864611,0.11478380379027048,0.37273417322208907,,False
UA26040030000091528,Богородчанська селищна громада,2020,2.4859384518015606,3.6447381080744137,172.71677899788367,0.09826307896097507,1.3442467499135462,6.279441380613705,False
UA26040030000091528,Богородчанська селищна громада,2021,3.87571506658826,17.045316565581093,95.70808231344158,0.1309521908862397,1.0843780972669517,2.4859384518015606,False
UA26040030000091528,Богородчанська селищна громада,2022,9.669713347952527,507.82046017935625,122.55257676965405,0.09536607982029294,0.2765068233869987,3.87571506658826,False
UA26040030000091528,Богородчанська селищна громада,2023,22.220766381772687,384.2203833285234,126.08456680306409,0.05437745684334437,0.8399340076126375,9.669713347952527,False
UA26040030000091528,Богородчанська селищна громада,2024,24.47181301135678,28.913304180392853,67.64712225860185,0.10640599546451404,0.36553082400742004,22.220766381772687,False
UA26040050000080752,Букачівська селищна громада,2024,0.014382263266245855,,0.5673083745370677,,0.06903486367798012,,False
UA26040070000065724,Бурштинська міська громада,2019,0.9232706774263323,,43958.68089564365,2.9643441712485554,469.81149622027795,,True
UA26040070000065724,Бурштинська міська громада,2020,0.0,,31751.456003648615,1.527566227264406,241.95097349471612,0.9232706774263323,True
UA26040070000065724,Бурштинська міська громада,2021,0.0,,40364.13127069414,2.592305798812515,306.997080418489,0.0,True
UA26040070000065724,Бурштинська міська громада,2022,0.987800348429248,,37681.4403004923,1.6831323725898966,177.2311385151757,0.0,True
UA26040070000065724,Бурштинська міська громада,2023,1.8862519216236897,,34196.25650508449,0.38072505891720265,29.364673533752963,0.987800348429248,True
UA26040070000065724,Бурштинська міська громада,2024,5.4155285433985405,,24459.35846395142,0.430561820214839,30.642261743193767,1.8862519216236897,True
UA26040090000025932,Галицька міська громада,2019,0.14750743723878554,103.44368779251054,880.1984714536734,2.047075434569368,1022.1670044241426,,False
UA26040090000025932,Галицька міська громада,2020,0.598224606579519,82.3173448368667,400.0421365574162,1.0145643481859912,1175.8607806578586,0.14750743723878554,False
UA26040090000025932,Галицька міська громада,2021,3.0116101769585377,0.9833829149252369,29.996702693998206,0.1259139873985522,2307.4741651100794,0.598224606579519,False
UA26040090000025932,Галицька міська громада,2022,1.6102895231900753,1.9667658298504738,12.929108822555795,0.09174143110490023,1573.1463719818748,3.0116101769585377,False
UA26040090000025932,Галицька міська громада,2023,3.6876859309696384,1.9667658298504738,3.4077905688090424,0.15943095508225402,373.3913942314511,1.6102895231900753,False
UA26040090000025932,Галицька міська громада,2024,8.760302800458986,,15.517331680350898,,999.0936862198112,3.6876859309696384,False
UA26040110000023512,Дзвиняцька сільська громада,2019,0.07511343599745944,,0.0003755671799872972,,,,False
UA26040190000081578,Івано-Франківська міська громада,2019,133.18226704849295,69.48574042215566,773.4497372806941,0.13672559973872514,443.69577803625134,,False
UA26040190000081578,Івано-Франківська міська громада,2020,171.78714226883886,134.55938671289798,644.3057313836407,0.3484909431742312,471.75578621970016,133.18226704849295,False
UA26040190000081578,Івано-Франківська міська громада,2021,237.0011561286803,99.38403264027144,747.6857631558987,0.23084774539682093,474.9680790699434,171.78714226883886,False
UA26040190000081578,Івано-Франківська міська громада,2022,390.00939388290516,125.46584446612427,324.87186137963226,0.10303738315493272,262.61903417007,237.0011561286803,False
